Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""2f0b3aa9-b433-4063-afca-9b304cc8bcc9""","""Pay-As-You-Go""","""b490c95c-c8de-4272-afe4-88a9c799045e""","""Pay-As-You-Go""",12,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
201807(6/12/2018 - 7/11/2018),"""Storage""","""Read-Access Geo Redundant""","""Standard IO - Table (GB)""",,"""7UD-00001""","""GB""",0.00265000,0.00000000,0,0.00265000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Block Blob Delete Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.50130000,0.00000000,0,0.50130000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Table Batch Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.82770000,0.00000000,0,0.82770000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Disk Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",1.00360000,0.00000000,0,1.00360000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - File Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.05690000,0.00000000,0,0.05690000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Table Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00410000,0.00000000,0,0.00410000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""","""Geo Redundant""","""Standard IO - Table Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00220000,0.00000000,0,0.00220000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Table Delete Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00020000,0.00000000,0,0.00020000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Page Blob Read Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00010000,0.00000000,0,0.00010000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Disk Read Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",1.00530000,0.00000000,0,1.00530000,USD,0,0,0,$0.00 USD
