Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""2f0b3aa9-b433-4063-afca-9b304cc8bcc9""","""Pay-As-You-Go""","""b490c95c-c8de-4272-afe4-88a9c799045e""","""Pay-As-You-Go""",12,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
6/20/2018,"""Storage""","""5e946cfc-acc9-4a96-895b-92386fa63c9c""",,"""Standard IO - Queue Class 2 Operation Units""",,"""10K Operation Units""",0.0001,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d""","""Geo Redundant""","""Standard IO - Table Write Batch Operation Units (in 10,000s)""",,"""10,000s""",0.0062,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""40551b4c-e8be-48ed-b70b-f8d25c7de724""",,"""Standard IO - Block Blob Read Operation Units (in 10,000s)""",,"""10,000s""",0.0001,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""be63f96a-ef4b-42c1-9365-f9fa0e7431d0""",,"""Standard IO - File List Operation Units (in 10,000s)""",,"""10,000s""",0.0001,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.036265,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":"""",""VMName"":"""",""VMProperties"":"""",""UsageType"":""DataTrOut""}""",,
6/20/2018,"""Data Management""","""12da282f-7e96-49e2-983a-9a65da2a4866""",,"""Standard IO - Table Read Operation Units (in 10,000s)""",,"""10,000s""",0.0068,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""761abab8-259d-4206-a6ae-707ed03fc540""",,"""Standard IO - File Read Operation Units (in 10,000s)""",,"""10,000s""",0.0004,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Networking""","""431b835b-2538-4faa-8763-8202f3fdbbb4""","""VPN Gateway""","""VpnGw1""",,"""Hours""",24.000000,,"""Virtual Network""",,"""azure-sample-vnet""","""{}""","""{}""",,
6/20/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",4.893935,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":"""",""VMName"":"""",""VMProperties"":"""",""UsageType"":""DataTrIn""}""",,
6/20/2018,"""Data Management""","""f8c187bb-5a47-46ae-b874-f186d207fff4""",,"""Standard IO - Block Blob List Operation Units (in 10,000s)""",,"""10,000s""",0.0001,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Networking""","""f114cb19-ea64-40b5-bcd7-aee474b62853""","""Public IP Addresses""","""IP Address Hours""",,"""Hours""",1.49999999999999989,"""westus""","""Microsoft.Network""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Network/publicIPAddresses/ependysis-ip""","""{}""","""{}""",,
6/20/2018,"""Networking""","""8f967c58-b144-4bd7-8882-8bf02767c839""","""DNS""","""Zones""",,"""DNS Zones""",0.0322580645161290348,"""global""","""Microsoft.Network""","""dns""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/dns/providers/Microsoft.Network/dnszones/louspringer.com""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""42e2a22f-fabf-41ea-a21e-e86bb3ff5799""",,"""Standard IO - Disk Read Operation Units (in 10,000s)""",,"""10,000s""",0.0138,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Virtual Machines""","""d101de3e-ae70-48bb-8605-64fcd0a3ce8f""","""Standard_D4_v3 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",2.133336,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":""Standard_D4s_v3"",""VMName"":"""",""VMProperties"":"""",""UsageType"":""ComputeHR""}""",,
6/20/2018,"""Data Management""","""9a56b4f4-1d78-416e-a19b-815490ad7910""",,"""Standard IO - Table Scan Operation Units (in 10,000s)""",,"""10,000s""",0.002,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Storage""","""5e946cfc-acc9-4a96-895b-92386fa63c9c""",,"""Standard IO - Queue Class 2 Operation Units""",,"""10K Operation Units""",0.0189,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""ad22fac8-9da5-4577-8683-56ae94d39e42""","""Geo Redundant""","""Standard IO - Table Write Operation Units (in 10,000s)""",,"""10,000s""",0.0020,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Storage""","""b90587a9-b1d5-4bd7-9d0b-e5d4a255a384""",,"""Standard IO - Queue Class 1 Operation Units""",,"""10K Operations""",0.0002,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""40551b4c-e8be-48ed-b70b-f8d25c7de724""",,"""Standard IO - Block Blob Read Operation Units (in 10,000s)""",,"""10,000s""",0.0887,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""be63f96a-ef4b-42c1-9365-f9fa0e7431d0""",,"""Standard IO - File List Operation Units (in 10,000s)""",,"""10,000s""",0.0004,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Storage""","""3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9""","""Locally Redundant""","""Standard IO - Table (GB)""",,"""GB""",0.000080,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000212,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000129,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Networking""","""0c4d13cb-7134-4be8-a6fa-a52fdcb87e4c""","""Geo Redundant""","""Data transfer - Geo-Replication (GB)""","""US West""","""GB""",0.000311,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""f8c187bb-5a47-46ae-b874-f186d207fff4""",,"""Standard IO - Block Blob List Operation Units (in 10,000s)""",,"""10,000s""",0.0004,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""923978e1-fd3f-4bd5-a798-f4b533057e46""",,"""Standard IO - Block Blob Delete Operation Units (in 10,000s)""",,"""10,000s""",0.0067,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Storage""","""e9549cbe-02d9-4213-b4be-22d6dfe8a3af""","""Locally Redundant""","""Premium Storage - Page Blob/P10 (Units)""","""US West""","""Units""",0.033336,"""uswest""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/disks/ependysis_OsDisk_1_2b38d7f47ec74cd8a435155b4b732392""","""{}""","""{}""",,
6/20/2018,"""Storage""","""daf38ede-0fe7-4e24-8cac-52d8cecd5049""","""Geo Redundant""","""Standard IO - Queue Class 1 Operation Units""",,"""10K Operations""",0.0001,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Data Services""","""65d4ded2-41ae-43a8-bb68-3c200e1ba864""","""Cosmos DB""","""100 Request Units (Hours)""",,"""Hours""",96.0,"""eastus""","""microsoft.documentdb""","""grafiki""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/grafiki/providers/microsoft.documentdb/databaseaccounts/grafiki""","""{""defaultExperience"":""Graph""}""","""{""DatabaseAccount"":""grafiki-eastus"",""CollectionRid"":""kFYcAPRaqgA="",""ImageType"":""GlobalDocumentDB""}""",,
6/20/2018,"""Data Management""","""e3a600a6-5a85-4679-9721-1c0d192ed142""",,"""Standard IO - Table Delete Operation Units (in 10,000s)""",,"""10,000s""",0.0001,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""9cb0bde8-bc0d-468c-8423-a25fe06779d3""",,"""Standard IO - Table Write Operation Units (in 10,000s)""",,"""10,000s""",0.0014,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""12da282f-7e96-49e2-983a-9a65da2a4866""",,"""Standard IO - Table Read Operation Units (in 10,000s)""",,"""10,000s""",0.012,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/20/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.003994,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000079,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/20/2018,"""Data Management""","""761abab8-259d-4206-a6ae-707ed03fc540""",,"""Standard IO - File Read Operation Units (in 10,000s)""",,"""10,000s""",0.0001,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/21/2018,"""Storage""","""e9549cbe-02d9-4213-b4be-22d6dfe8a3af""","""Locally Redundant""","""Premium Storage - Page Blob/P10 (Units)""","""US West""","""Units""",0.033336,"""uswest""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/disks/ependysis_OsDisk_1_2b38d7f47ec74cd8a435155b4b732392""","""{}""","""{}""",,
6/21/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.009803,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":"""",""VMName"":"""",""VMProperties"":"""",""UsageType"":""DataTrOut""}""",,
6/21/2018,"""Data Management""","""12da282f-7e96-49e2-983a-9a65da2a4866""",,"""Standard IO - Table Read Operation Units (in 10,000s)""",,"""10,000s""",0.0002,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/21/2018,"""Virtual Machines""","""d101de3e-ae70-48bb-8605-64fcd0a3ce8f""","""Standard_D4_v3 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",2.533344,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":""Standard_D4s_v3"",""VMName"":"""",""VMProperties"":"""",""UsageType"":""ComputeHR""}""",,
6/21/2018,"""Data Management""","""b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52""",,"""Standard IO - Table Batch Write Operation Units (in 10,000s)""",,"""10,000s""",0.0146,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/21/2018,"""Networking""","""d54686f0-77ff-43f3-9e7c-2099030d32a7""","""DNS""","""DNS Queries (1M)""",,"""1M Queries""",0.000563,"""global""","""Microsoft.Network""","""dns""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/dns/providers/Microsoft.Network/dnszones/louspringer.com""","""{}""","""{}""",,
6/21/2018,"""Networking""","""431b835b-2538-4faa-8763-8202f3fdbbb4""","""VPN Gateway""","""VpnGw1""",,"""Hours""",24.000000,,"""Virtual Network""",,"""azure-sample-vnet""","""{}""","""{}""",,
6/21/2018,"""Networking""","""f114cb19-ea64-40b5-bcd7-aee474b62853""","""Public IP Addresses""","""IP Address Hours""",,"""Hours""",2.89999999999999969,"""westus""","""Microsoft.Network""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Network/publicIPAddresses/ependysis-ip""","""{}""","""{}""",,
6/21/2018,"""Data Management""","""c80a3636-2edb-4248-bcb1-04ef818a75ac""",,"""Standard IO - Disk Write Operation Units (in 10,000s)""",,"""10,000s""",0.0424,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/21/2018,"""Data Management""","""923978e1-fd3f-4bd5-a798-f4b533057e46""",,"""Standard IO - Block Blob Delete Operation Units (in 10,000s)""",,"""10,000s""",0.0212,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/21/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",1.004143,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":"""",""VMName"":"""",""VMProperties"":"""",""UsageType"":""DataTrIn""}""",,
6/21/2018,"""Data Services""","""38529ded-5b8e-4b49-b078-ce81794a3543""","""Cosmos DB""","""100 Request Units (Hours)""","""US West""","""Hours""",96.0,"""westus""","""microsoft.documentdb""","""grafiki""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/grafiki/providers/microsoft.documentdb/databaseaccounts/grafiki""","""{""defaultExperience"":""Graph""}""","""{""DatabaseAccount"":""grafiki-westus"",""CollectionRid"":""kFYcAPRaqgA="",""ImageType"":""GlobalDocumentDB""}""",,
6/21/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000120,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/21/2018,"""Data Services""","""65d4ded2-41ae-43a8-bb68-3c200e1ba864""","""Cosmos DB""","""100 Request Units (Hours)""",,"""Hours""",96.0,"""eastus""","""microsoft.documentdb""","""grafiki""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/grafiki/providers/microsoft.documentdb/databaseaccounts/grafiki""","""{""defaultExperience"":""Graph""}""","""{""DatabaseAccount"":""grafiki-eastus"",""CollectionRid"":""kFYcAPRaqgA="",""ImageType"":""GlobalDocumentDB""}""",,
6/21/2018,"""Data Management""","""40551b4c-e8be-48ed-b70b-f8d25c7de724""",,"""Standard IO - Block Blob Read Operation Units (in 10,000s)""",,"""10,000s""",0.2753,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/21/2018,"""Data Management""","""bb20dfda-6d18-4bb1-b7fc-86a05d9cfb8d""","""Geo Redundant""","""Standard IO - Table Write Batch Operation Units (in 10,000s)""",,"""10,000s""",0.0288,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/21/2018,"""Networking""","""0c4d13cb-7134-4be8-a6fa-a52fdcb87e4c""","""Geo Redundant""","""Data transfer - Geo-Replication (GB)""","""US West""","""GB""",0.001250,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/21/2018,"""Networking""","""8f967c58-b144-4bd7-8882-8bf02767c839""","""DNS""","""Zones""",,"""DNS Zones""",0.0322580645161290348,"""global""","""Microsoft.Network""","""dns""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/dns/providers/Microsoft.Network/dnszones/louspringer.com""","""{}""","""{}""",,
6/21/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000624,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/21/2018,"""Storage""","""3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9""","""Locally Redundant""","""Standard IO - Table (GB)""",,"""GB""",0.000096,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/21/2018,"""Data Management""","""ad22fac8-9da5-4577-8683-56ae94d39e42""","""Geo Redundant""","""Standard IO - Table Write Operation Units (in 10,000s)""",,"""10,000s""",0.0002,"""uswest""","""Microsoft.Storage""","""yfasma""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/yfasma/providers/Microsoft.Storage/storageAccounts/yfasma""","""{}""","""{}""",,
6/21/2018,"""Data Management""","""211e620c-ebcf-4db5-a7fd-996abebe9546""",,"""Standard IO - Block Blob Write Operation Units (in 10,000s)""",,"""10,000s""",0.0212,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/21/2018,"""Data Management""","""42e2a22f-fabf-41ea-a21e-e86bb3ff5799""",,"""Standard IO - Disk Read Operation Units (in 10,000s)""",,"""10,000s""",0.0424,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/22/2018,"""Storage""","""e9549cbe-02d9-4213-b4be-22d6dfe8a3af""","""Locally Redundant""","""Premium Storage - Page Blob/P10 (Units)""","""US West""","""Units""",0.033336,"""uswest""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/disks/ependysis_OsDisk_1_2b38d7f47ec74cd8a435155b4b732392""","""{}""","""{}""",,
6/22/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001427,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":"""",""VMName"":"""",""VMProperties"":"""",""UsageType"":""DataTrOut""}""",,
6/22/2018,"""Virtual Machines""","""d101de3e-ae70-48bb-8605-64fcd0a3ce8f""","""Standard_D4_v3 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",5.566678,"""westus""","""Microsoft.Compute""","""EPENDYSIS""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/EPENDYSIS/providers/Microsoft.Compute/virtualMachines/ependysis""","""{}""","""{""ImageType"":"""",""ServiceType"":""Standard_D4s_v3"",""VMName"":"""",""VMProperties"":"""",""UsageType"":""ComputeHR""}""",,
6/22/2018,"""Data Management""","""b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52""",,"""Standard IO - Table Batch Write Operation Units (in 10,000s)""",,"""10,000s""",0.0146,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
6/22/2018,"""Networking""","""d54686f0-77ff-43f3-9e7c-2099030d32a7""","""DNS""","""DNS Queries (1M)""",,"""1M Queries""",0.000578,"""global""","""Microsoft.Network""","""dns""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/dns/providers/Microsoft.Network/dnszones/louspringer.com""","""{}""","""{}""",,
6/22/2018,"""Networking""","""431b835b-2538-4faa-8763-8202f3fdbbb4""","""VPN Gateway""","""VpnGw1""",,"""Hours""",24.000000,,"""Virtual Network""",,"""azure-sample-vnet""","""{}""","""{}""",,
6/22/2018,"""Networking""","""f114cb19-ea64-40b5-bcd7-aee474b62853""","""Public IP Addresses""","""IP Address Hours""",,"""Hours""",4.89999999999999947,"""westus""","""Microsoft.Network""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Network/publicIPAddresses/ependysis-ip""","""{}""","""{}""",,
6/22/2018,"""Data Management""","""c80a3636-2edb-4248-bcb1-04ef818a75ac""",,"""Standard IO - Disk Write Operation Units (in 10,000s)""",,"""10,000s""",0.0549,"""uswest""","""Microsoft.Storage""","""ependysis""","""/subscriptions/3e6b71a1-1c47-4188-a4dc-793259a87549/resourceGroups/ependysis/providers/Microsoft.Storage/storageAccounts/ependysisdiag437""","""{}""","""{}""",,
